Title,Salary,Date Posted,Location,Closing Date,Link
Housekeeping Manager (Royal Palm Beachcomber Luxury)NEW MAURITIUS HOTELS LIMITED – Beachcomber HOTELS,Not disclosed,07/08/2025,Riviere du Rempart,06/09/2025,https://www.myjob.mu/Jobs/Housekeeping-Manager-Royal-Palm-Beachcomber-196471.aspx
Automotive Mechanics Grade IHidden Company,"31,000 - 40,000",07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Automotive-Mechanics-Grade-I-196470.aspx
Accounts Clerk (2532-AC)Alentaris Recruitment Ltd,Negotiable,07/08/2025,Plaine Wilhems,06/09/2025,https://www.myjob.mu/Jobs/Accounts-Clerk-2532-AC-196469.aspx
Valet (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Valet-Preskil-Island-Resort-196468.aspx
Cleaner (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Cleaner-Preskil-Island-Resort-196467.aspx
Front Office Operation Assistant (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Front-Office-Operation-Assistant-Preskil-196466.aspx
Chef De Partie (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Chef-De-Partie-Preskil-Island-196465.aspx
Sous Chef (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Sous-Chef-Preskil-Island-Resort-196464.aspx
Executive Sous Chef – Preskil Island ResortGroupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Executive-Sous-Chef-Preskil-Island-196463.aspx
Head Waiter/Head Waitress (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Head-Waiter-Head-Waitress-Preskil-196462.aspx
Waiter / Waitress (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Waiter-Waitress-Preskil-Island-Resort-196461.aspx
Bar Helper (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Bar-Helper-Preskil-Island-Resort-196460.aspx
Nurse - Preskil Island ResortGroupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Nurse-Preskil-Island-Resort-196459.aspx
Data Governance OfficerOrange Business Services Mauritius Limited,Not disclosed,07/08/2025,Plaine Wilhems,06/09/2025,https://www.myjob.mu/Jobs/Data-Governance-Officer-196440.aspx
"Senior Manager UC (Unified Communication), CC (Contact Center) & CloudOrange Business Services Mauritius Limited",Not disclosed,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Senior-Manager-UC-Unified-Communication-196457.aspx
Manager Excellence Opérationnelle et TransformationOrange Business Services Mauritius Limited,Not disclosed,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Manager-Excellence-Operationnelle-et-Transformation-196456.aspx
Outlet Manager (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,07/08/2025,Flacq,06/09/2025,https://www.myjob.mu/Jobs/Outlet-Manager-Preskil-Island-Resort-196455.aspx
W​a​i​t​e​r​Veranda Palmar Beach Hotel,Negotiable,07/08/2025,Flacq,06/09/2025,https://www.myjob.mu/Jobs/Waiter-196452.aspx
Helper / DriverHELIUM BUSINESS SOLUTIONS LTD,"21,000 - 30,000",07/08/2025,Black River,06/09/2025,https://www.myjob.mu/Jobs/Helper-Driver-196451.aspx
