title,salary,date_posted,location,closing_date,days_open,posted_month,posted_year,closing_month,closing_year
senior technology consultant oracle developerstate informatics limited,45500.0,2025-08-27,port louis,2025-09-10,14,8,2025,9,2025
welder soudeurhidden company,35500.0,2025-08-27,port louis,2025-09-26,30,8,2025,9,2025
handyman agent de maintenance polyvalentservice plus monde spm lt e,15000.0,2025-08-26,port louis,2025-09-25,30,8,2025,9,2025
brand promotersmollan mauritius ltd,15000.0,2025-08-26,mauritius,2025-09-25,30,8,2025,9,2025
spa attendantone only le saint geran,15000.0,2025-08-26,flacq,2025-09-25,30,8,2025,9,2025
chauffeur homme a tout fairecutout ltd,25500.0,2025-08-26,riviere du rempart,2025-09-25,30,8,2025,9,2025
technical pool stp operator aqua science and technology ltd taylor smith group,15000.0,2025-08-26,black river,2025-09-25,30,8,2025,9,2025
guest services agentshanti maurice resort spa,15000.0,2025-08-26,savanne,2025-09-25,30,8,2025,9,2025
sales officer sof alentaris recruitment ltd,25500.0,2025-08-26,port louis,2025-09-25,30,8,2025,9,2025
sales administrator sad alentaris recruitment ltd,25500.0,2025-08-26,port louis,2025-09-25,30,8,2025,9,2025
logistics officer lof alentaris recruitment ltd,25500.0,2025-08-26,port louis,2025-09-25,30,8,2025,9,2025
maintenance officermaxcity asset managers ltd,25500.0,2025-08-05,port louis,2025-09-04,30,8,2025,9,2025
facility officermaxcity asset managers ltd,25500.0,2025-08-26,port louis,2025-09-03,8,8,2025,9,2025
assistant f b managerconstance prince maurice,63000.0,2025-08-26,flacq,2025-09-25,30,8,2025,9,2025
assistant pay and benefits support officertransinvest construction ltd,25500.0,2025-08-26,port louis,2025-09-25,30,8,2025,9,2025
housekeeping attendantveranda pointe aux biches hotel,15000.0,2025-08-26,riviere du rempart,2025-09-25,30,8,2025,9,2025
s t e w a r d veranda pointe aux biches hotel,15000.0,2025-08-26,pamplemousses,2025-09-25,30,8,2025,9,2025
floor supervisorconstance prince maurice,25500.0,2025-08-26,flacq,2025-09-25,30,8,2025,9,2025
assistant juridiquejom talents recrutement ltd,35500.0,2025-08-25,plaine wilhems,2025-09-24,30,8,2025,9,2025
operations specialistabinbev,25500.0,2025-08-25,black river,2025-09-24,30,8,2025,9,2025
executive secretarydayanand boholah seafoods co ltd,25500.0,2025-08-25,flacq,2025-09-24,30,8,2025,9,2025
import clerkdayanand boholah seafoods co ltd,15000.0,2025-08-25,flacq,2025-09-24,30,8,2025,9,2025
shop assistantone only le saint geran,15000.0,2025-08-25,flacq,2025-09-24,30,8,2025,9,2025
conseiller commercialxefi center mauritius ltd,45500.0,2025-08-25,mauritius,2025-09-24,30,8,2025,9,2025
assistant commercialxefi center mauritius ltd,35500.0,2025-08-25,plaine wilhems,2025-09-24,30,8,2025,9,2025
c o m m e r c i a l xefi center mauritius ltd,45500.0,2025-08-25,plaine wilhems,2025-09-24,30,8,2025,9,2025
